Restaurant Name,Website,Email,Phone,Address,City,Status,Chatbot Detected,Sent_Status,Sent_Date
The Keg,https://thekeg.com/en/locations/leslie-street,"Franchising@kegrestaurants.com, Legal@kegrestaurants.com, Managers@thekegniagarafalls.com, Marketing@thekeg.com, abbotsford@kegrestaurants.com, accessibility@thekeg.com, ajax@kegrestaurants.com, alberni@kegrestaurants.com, aoda@thekeg.com, arlington@kegrestaurants.com, aurora@kegrestaurants.com, banffcaribou@kegrestaurants.com, banffdowntown@kegrestaurants.com, barrie@kegrestaurants.com, birthdayprogram@thekeg.com, bobby.price@kegrestaurants.com, bobby.price@thekeg.com, bramalea@kegrestaurants.com, brampton@kegrestaurants.com, brandon@kegrestaurants.com, brantford@kegrestaurants.com, brighton@kegrestaurants.com, burlington@kegrestaurants.com, burnaby@kegrestaurants.com, bustere@kegrestaurants.com, calgary4thave@kegrestaurants.com, cambridge@kegrestaurants.com, cameron.powley@kegrestaurants.com, carlos.martinez@kegrestaurants.ca, carolynt@kegrestaurants.com, centrecrossing@kegrestaurants.com, chandler@kegrestaurants.com, christopher.hicks@kegrestaurants.ca, coloradomills@kegrestaurants.com, consommateur@st-hubert.com, coquitlam@kegrestaurants.com, crowfoot@kegrestaurants.com, dartmouth@kegrestaurants.com, desertridge@kegrestaurants.com, devonshire@kegrestaurants.com, dixonroad@thekeg.com, dunsmuir@kegrestaurants.com, employment@kegrestaurants.com, employment@thekeg.com, esplanade@kegrestaurants.com, estatedrive@kegrestaurants.com, fortmcmurray@kegrestaurants.com, fortstreet@kegrestaurants.com, franchising@kegrestaurants.com, garrystreet@kegrestaurants.com, garrystreet@thekeg.com, gcroteau75@hotmail.com, gi@kegrestaurants.com, giftcard@kegrestaurants.com, gilbert@kegrestaurants.com, glenno@kegrestaurants.com, grandeprairie@kegrestaurants.com, guelph@kegrestaurants.com, guestrelations@thekeg.com, halifax@kegrestaurants.com, hamiltonmountain@kegrestaurants.com, hazel.goh@kegrestaurants.com, hazel.goh@thekeg.com, heartland@kegrestaurants.com, humanresources@kegrestaurants.com, humanresources@thekeg.com, huntclub@kegrestaurants.com, investorrelations@kegrestaurants.com, investorrelatons@kegrestaurants.com, jason.butler@kegrestaurants.com, jason.butler@thekeg.com, jenn.anthony@kegrestaurants.com, jenn.anthony@thekeg.com, jeroen.vanderwolf@kegrestaurants.com, jimmy.dudomaine@thekeg.com, josh.bishop@kegrestaurants.com, kanata@kegrestaurants.com, keg@n21inc.com, kelowna@kegrestaurants.com, kingston@kegrestaurants.com, kingwest@kegrestaurants.com, langley@kegrestaurants.com, laval@kegrestaurants.com, lee.terreberry@kegrestaurants.com, lee.terreberry@thekeg.com, legal@kegrestaurants.com, lesliestreet@kegrestaurants.com, lethbridge@kegrestaurants.com, londonsouth@kegrestaurants.com, lynnwood@kegrestaurants.com, mactrail@kegrestaurants.com, manor@kegrestaurants.com, mansion@kegrestaurants.com, mapleridge@kegrestaurants.com, marketing@kegrestaurants.com, marketing@thekeg.com, marketmall@kegrestaurants.com, masonville@kegrestaurants.com, matt.murphy@kegrestaurants.com, matt.murphy@thekeg.com, medicinehat@kegrestaurants.com, michael.callihoo@kegrestaurants.ca, mississauga.north@kegrestaurants.com, moncton@kegrestaurants.com, morgan.lake@kegrestaurants.ca, morgancreek@kegrestaurants.com, newmarket@kegrestaurants.com, northyork@kegrestaurants.com, oakville@kegrestaurants.com, orovalley@kegrestaurants.com, oshawa@kegrestaurants.com, ottawa@kegrestaurants.com, parkroyal@kegrestaurants.com, parry.tascona@kegrestaurants.com, peterborough@kegrestaurants.com, pointeclaire@kegrestaurants.com, princegeorge@kegrestaurants.com, privacy.officer@kegrestaurants.com, prosati@fallsviewgroup.com, pvm@kegrestaurants.com, pvm@thekeg.com, reddeer@kegrestaurants.com, reginasouth@kegrestaurants.com, richmondhill@kegrestaurants.com, richmondsouth@kegrestaurants.com, riverside@kegrestaurants.com, saanich@kegrestaurants.com, saintbruno@kegrestaurants.com, scott.stephen@kegrestaurants.com, scottroad@kegrestaurants.com, shawnc@kegrestaurants.com, sherway@kegrestaurants.com, sherwoodpark@kegrestaurants.com, signalhill@thekeg.com, skyview@kegrestaurants.com, southcommon@kegrestaurants.com, southpointe@kegrestaurants.com, southside@kegrestaurants.com, squareone@kegrestaurants.com, st.johns@kegrestaurants.com, stcatharines@kegrestaurants.com, stjames@kegrestaurants.com, sudbury@kegrestaurants.com, tempe@kegrestaurants.com, thekeg@kegrestaurants.com, thunderbay@kegrestaurants.com, troyan.mason@kegrestaurants.com, vaughan@kegrestaurants.com, vieux.montreal@kegrestaurants.com, waterdown@kegrestaurants.com, waterloo@kegrestaurants.com, westedmonton@kegrestaurants.com, whistler@kegrestaurants.com, whistlergroups@kegrestaurants.com, windermere@kegrestaurants.com, woodbridge@kegrestaurants.com, yaletown@kegrestaurants.com, yonge.eglinton@kegrestaurants.com, yorkstreet@kegrestaurants.com",+1-416-446-1045,1977 Leslie Street,Toronto,No Chatbot (HOT PROSPECT),None,,
Big Way Hot Pot,https://www.bigwayhotpot.com/,"contact@sushi.com, hr.ca@bigwayhotpot.com, hr.on@bigwayhotpot.com, hr@bigwayhotpot.com, info@bigwayhotpot.com, marketing@bigwayhotpot.com",+1-416-646-5708,559 Bloor Street West,GTA,No Chatbot (HOT PROSPECT),None,,
Trattoria Fieramosca,https://fieramoscatoronto.ca/,"email@example.com, info@fieramoscatoronto.com",N/A,36A Prince Arthur Avenue,GTA,No Chatbot (HOT PROSPECT),None,,
Opus Restaurant,https://opusrestaurant.com/,N/A,N/A,37 Prince Arthur Avenue,Toronto,No Chatbot (HOT PROSPECT),None,,
Joyous Chinese Cuisine,https://joyouschinesecuisine.ca,N/A,+1 905-321-6805,5505 Leslie Street,North York,Unreachable Website,N/A,,
Swiss Chalet Express,https://www.swisschalet.com,N/A,+1-416-693-2881,2148 Queen Street East,Toronto,Unreachable Website,N/A,,
nutbar,https://nutbar.co/,hello@nutbar.co,+16478055008,425 Adelaide Street West,Toronto,No Chatbot (HOT PROSPECT),None,,
Sector 17,https://www.sector17.ca,N/A,+16473660017,268 Dundas Street East,Toronto,Unreachable Website,N/A,,
Ginger,http://gingercuisine.ca/,vietfoodonline@yahoo.ca,N/A,546 Church Street,Toronto,No Chatbot (HOT PROSPECT),None,,
Highwayman,https://www.beefeater.co.uk/en-gb/locations/chesterfield/the-highwayman,N/A,N/A,N/A,GTA,No Chatbot (HOT PROSPECT),None,,
Pizza Rustica Restaurant & Bar,https://www.pizzarustica.ca/,info@pizzarustica.ca,+1-416-260-0200,37 Blue Jays Way,GTA,No Chatbot (HOT PROSPECT),None,,
Lettuce Love Cafe,https://www.lettucelovecafe.com/,"bloorwest@lettucelovecafe.com, burlington@lettucelovecafe.com, hello@lettucelovecafe.com, user@domain.com, westdale@lettucelovecafe.com",+1 437 913 9151,2241 Bloor Street West,Toronto,No Chatbot (HOT PROSPECT),None,,
Maya Bay,https://mayabay.ca/,N/A,+1-416-924-8989,252 Carlton Street,Toronto,No Chatbot (HOT PROSPECT),None,,
CC Lounge and Whiskey Bar,https://www.cconfront.com/,"info@cconfront.com, user@domain.com",N/A,45 Front Street East,Toronto,No Chatbot (HOT PROSPECT),None,,
Inspire,https://www.inspirerestaurant.com/,"1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, reservation@insprestaurant.com",N/A,144 Main Street Markham North,GTA,No Chatbot (HOT PROSPECT),None,,
Main's Mansion Restaurant & Bar,https://mainsmansion.com/,N/A,N/A,144 Main Street Markham North,GTA,Unreachable Website,N/A,,
M.Y. Restaurant,https://www.my-markham.com/,N/A,N/A,N/A,GTA,No Chatbot (HOT PROSPECT),None,,
Cubas Latin Restaurant,http://www.cubasrestaurant.com/,N/A,+1-905-973-4709,N/A,GTA,Unreachable Website,N/A,,
El Spero,https://www.elspero.ca/,N/A,+1-905-827-4851,2420 Lakeshore Road West,GTA,No Chatbot (HOT PROSPECT),None,,
Buk Chang Dong Soon Tofu,https://www.bukchangdongsoontofu.com/,bcdsoontofu@gmail.com,+1-416-537-0972,691 Bloor Street West,Toronto,No Chatbot (HOT PROSPECT),None,,
Kintori,https://www.kintonramen.com/canada/,N/A,N/A,668 Bloor Street West,Toronto,No Chatbot (HOT PROSPECT),None,,
Korea House,http://www.koreahousetoronto.com/,N/A,+1-416-536-8666,666 Bloor Street West,Toronto,No Chatbot (HOT PROSPECT),None,,
Arisu Korean & Japanese Restaurant Bar,https://www.migabbq.com/,"0c52cb89aa4d4154857a1584b6701db6@sentry.wixpress.com, 1689329078444118ba5ee5234e87bd81@sentry.wixpress.com, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 6117f2172a744ef3913942830d472a2c@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, b4928a7ca6b9454192554f7a3911fd68@sentry.wixpress.com, c5095236fd2e4b8fae9ed6d73cdd81a3@sentry.wixpress.com, d44fb01cd7e74726be3bf46f5e32f60e@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, rim8200@gmail.com",+1-416-533-8104,584 Bloor Street West,Toronto,No Chatbot (HOT PROSPECT),None,,
Kelly's Landing,http://kellyslanding.ca/,N/A,N/A,N/A,GTA,Unreachable Website,N/A,,
Milestones,https://milestonesrestaurants.com/,info@milestonesrestaurants.com,+1-416-598-2800,10 Dundas Street East,Toronto,No Chatbot (HOT PROSPECT),None,,
Cranberries Restaurant,https://www.redcranberries.ca/,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, cd64ba1f47df485bba2b0076c0dd3b25@sentry.wixpress.com, cranberriescabbagetown@gmail.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com",+1-416-925-6330,601 Parliament Street,Toronto,No Chatbot (HOT PROSPECT),None,,
Yonge Street Warehouse,https://warehousegroup.ca/,info@warehousegroup.ca,+1 416-599-5788,336 Yonge Street,GTA,No Chatbot (HOT PROSPECT),None,,
Congee Queen,https://www.congeequeen.com/,N/A,N/A,360 Yonge Street,GTA,No Chatbot (HOT PROSPECT),None,,
Peter Pan Bistro,https://bistro.peterpantry.ca/about/,N/A,+14167923838,373 Queen Street West,Toronto,Unreachable Website,N/A,,
Minerva Tiffins,https://minerva-tiffins.business.site,N/A,+1 647-709-0926,16 Lebovic Avenue,Toronto,Unreachable Website,N/A,,
Golden Horseshoe Barbecue,https://goldenhorseshoebbq.com/,"impallari@gmail.com, info@goldenhorseshoebbq.com, team@latofonts.com",+1-416-532-9292,657 Dupont Street,Toronto,No Chatbot (HOT PROSPECT),None,,
The Benue,https://the-benue.com/,support@skipthedishes.com,N/A,440 Christie Street,Toronto,No Chatbot (HOT PROSPECT),None,,
Ki,https://www.kijapanese.com/,N/A,+1-416-308-5888,181 Bay Street,Toronto,No Chatbot (HOT PROSPECT),None,,
Hothouse Restaurant & Bar,https://www.hothouserestaurant.com/,"events@hothouserestaurant.com, info@hothouserestaurant.com, katrina@beyondtheclockva.com",N/A,35 Church Street,Toronto,No Chatbot (HOT PROSPECT),None,,
Yeti Kitchen,https://yetikitchen.square.site/,13e49d785d8d4f828038b6136f3b48ba@sentry.io,+1-416-805-3601,106 Queen Street East,Toronto,No Chatbot (HOT PROSPECT),None,,
Philthy Philly's,https://philthyphillys.com/,N/A,+1-416-306 1000,132 Dundas Street East,GTA,No Chatbot (HOT PROSPECT),None,,
Armenian Bistro,https://www.armenianbistro.ca/,N/A,+1 416-947-8177,5487 Dundas Street West,GTA,No Chatbot (HOT PROSPECT),None,,
Goodfellas Wood Oven Pizza,https://www.goodfellaspizza.ca/,N/A,N/A,209 Queen Street South,GTA,No Chatbot (HOT PROSPECT),None,,
St. Louis Bar & Grill,https://locations.stlouiswings.com/on-toronto-5212/,N/A,+1-416-883-8983,313 Bremner Boulevard,Toronto,No Chatbot (HOT PROSPECT),None,,
Punjabi By Nature,https://www.punjabibynature.ca/,caterings@punjabibynature.ca,+1-289-856-9700,N/A,GTA,No Chatbot (HOT PROSPECT),None,,
Ritorno,https://www.ritorno.ca/,N/A,+1-905-257-5881,N/A,GTA,Unreachable Website,N/A,,
Swiss Chalet,https://www.swisschalet.com/store/toronto/queens-quay,N/A,N/A,266 Queens Quay West,Toronto,Unreachable Website,N/A,,
Wild Wing,https://www.wildwingrestaurants.com/location/queens-quay/,N/A,+1-647-350-9464,246 Queens Quay West,Toronto,Unreachable Website,N/A,,
Stacked Pancake & Breakfast House,https://www.stackedpancakehouse.ca/,"info@stackedpancakehouse.ca, no-reply@stacked.payloadcms.app",+1-416-443-0629,3 Ellesmere Road,Scarborough,No Chatbot (HOT PROSPECT),None,,
Dang Smoke BBQ,https://dangsmokebbq.com/,"info@dangsmokebbq.com, user@domain.com",+14164658585,4 Greenwood Avenue,Toronto,No Chatbot (HOT PROSPECT),None,,
Desi Bar & Grill,https://www.desi.bar/,N/A,N/A,N/A,GTA,Unreachable Website,N/A,,
The Rec Room,https://www.therecroom.com/toronto-roundhouse/info,press@therecroom.com,+1-416-815-0086,255 Bremner Boulevard,Toronto,No Chatbot (HOT PROSPECT),None,,
Anejo,https://www.anejo.ca/en/locations/on/toronto/7-marie-labatte-road,N/A,N/A,N/A,GTA,No Chatbot (HOT PROSPECT),None,,
Symposium Cafe Restaurant Thornhill,https://symposiumcafe.com/locations/thornhill-restaurants,"example@email.com, symposium.ajax@symposiumcafe.com, symposium.alliston@symposiumcafe.com, symposium.ancaster@symposiumcafe.com, symposium.aurora@symposiumcafe.com, symposium.barrie@symposiumcafe.com, symposium.bolton@symposiumcafe.com, symposium.brantford@symposiumcafe.com, symposium.cambridge@symposiumcafe.com, symposium.georgetown@symposiumcafe.com, symposium.guelph@symposiumcafe.com, symposium.lindsay@symposiumcafe.com, symposium.markham@symposiumcafe.com, symposium.milton@symposiumcafe.com, symposium.oakville@symposiumcafe.com, symposium.oshawa@symposiumcafe.com, symposium.stoneycreek@symposiumcafe.com, symposium.thornhill@symposiumcafe.com, symposium.waterdown@symposiumcafe.com, symposium.waterloo@symposiumcafe.com, symposium.woodbridge@symposiumcafe.com",+1 905-881-2233,8187 Yonge Street,Thornhill,No Chatbot (HOT PROSPECT),None,,
Gabby's,https://www.gabbys.ca,N/A,N/A,3263 Yonge Street,Toronto,No Chatbot (HOT PROSPECT),None,,
PhaYao Thai,http://www.phayao.ca/,N/A,N/A,3443 Yonge Street,North York,Unreachable Website,N/A,,
Moods Eatry & Cafe,https://moodscanada.com/,info@moodscanada.com,+1-905-339-0005,275 Iroquois Shore Road,GTA,No Chatbot (HOT PROSPECT),None,,
Paramount Fine Foods,https://www.paramountfinefoods.com/,N/A,+1-905-450-1811,N/A,GTA,Unreachable Website,N/A,,
The Chestnut Tree,https://foodservices.utoronto.ca/chestnut-dining-commons/,N/A,N/A,89 Chestnut Street,GTA,Unreachable Website,N/A,,
El Mariachi,https://elmariachitacos.ca/,elmariachitacos@rogers.com,N/A,235 Queen Street South,Mississauga,No Chatbot (HOT PROSPECT),None,,
The Franklin House,https://www.thefranklinhouse.ca/,N/A,+1-905-369-0500,263 Queen Street South,Mississauga,No Chatbot (HOT PROSPECT),None,,
Miss Fu in ChengDu,https://www.missfuinchengdu.ca/,"2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com",+1-416-792-5811,637 yo,GTA,No Chatbot (HOT PROSPECT),None,,
Copacabana,https://thecopa.ca/locations/toronto,N/A,+1-416-916-2099,150 Eglinton Avenue East,Toronto,Unreachable Website,N/A,,
Cafe Landwer,https://www.landwer.ca/,N/A,+1-647-748-1165,165 University Avenue,GTA,No Chatbot (HOT PROSPECT),None,,
Sofra Istanbul,https://www.sofraistanbul.com/,info@sofraistanbul.com,+1-905-532-0054,N/A,GTA,No Chatbot (HOT PROSPECT),None,,
Korean Grill House,https://koreangrillhouse.com/,N/A,+1-416-263-9850,214 Queen Street West,Toronto,No Chatbot (HOT PROSPECT),None,,
Shinyi Dumplings,https://www.shinyidumplings.ca/,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com, info@mysite.com, shinyitoronto@gmail.com",N/A,N/A,GTA,No Chatbot (HOT PROSPECT),None,,
Jack Astor's,http://www.jackastors.com,N/A,+1-416-626-2700,1900 The Queensway,Etobicoke,Unreachable Website,N/A,,
Chef of India,https://chefofindia.ca/,N/A,+1-416-485-5552,30 Eglinton Avenue East,Toronto,No Chatbot (HOT PROSPECT),None,,
Mezcalero,https://www.mezcalerotoronto.com/,N/A,+1-416-929-8859,509 Bloor Street West,GTA,No Chatbot (HOT PROSPECT),None,,
Crafty Coyote,https://craftycoyote.ca/,"email@example.com, kndreka@gmail.com",+1-647-748-2338,511 Bloor Street West,Toronto,No Chatbot (HOT PROSPECT),None,,
Peace Resturant,https://www.peacefulrestaurant.com/,N/A,+1-416-530-0800,515 Bloor Street West,Toronto,No Chatbot (HOT PROSPECT),None,,
Insomnia,https://www.insomniarestaurant.com/,"info@insomniarestaurant.com, mail@insomniarestaurant.com",+1-416-588-3907,563 Bloor Street West,Toronto,No Chatbot (HOT PROSPECT),None,,
Monga Fried Chicken,https://mongacanada.com/,info@mongacanada.com,+1-647-341-8838,692 Yonge Street,GTA,No Chatbot (HOT PROSPECT),None,,
Sansotei Ramen,https://www.sansotei.com/,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com, 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com",+1-416-926-9599,650 Yonge Street,GTA,No Chatbot (HOT PROSPECT),None,,
Shamshiri Restaurant,https://shamshiri.ca/,N/A,N/A,646 Yonge Street,Toronto,No Chatbot (HOT PROSPECT),None,,
Terrazza,https://terrazzato.com/,"terrazzato@gmail.com, user@domain.com",+1-647-343-3283,372 Harbord Street,GTA,No Chatbot (HOT PROSPECT),None,,
Pizza Hut,https://www.pizzahut.ca/huts/ca-1/R31403/,N/A,+1-905-886-4444,392 John Street,Markham,No Chatbot (HOT PROSPECT),None,,
The Chef's House,https://www.thechefshouse.com/,"chefshouse@georgebrown.ca, user@domain.com",N/A,N/A,GTA,No Chatbot (HOT PROSPECT),None,,
Foodie North,http://foodienorth.com/,megan@meganclarkmedia.com,+1-905-277-8989,N/A,GTA,No Chatbot (HOT PROSPECT),None,,
Scaddabush Italian Kitchen & Bar,https://www.scaddabush.com/,"SCADDABUSHJOBFAIR@SIRCORP.COM, guestresponse@sircorp.com, scaddabushjobfair@sircorp.com",+1-905-281-1721,209 Rathburn Road West,Mississauga,No Chatbot (HOT PROSPECT),None,,
The Cherie Bistro,https://www.thecheriebistro.com/,N/A,+1 416-968-1010,538 Church Street,Toronto,No Chatbot (HOT PROSPECT),None,,
